player,pos,g,ast_per_game,blk_per_game,drb_per_game,e_fg_percent,fg_per_game,fg_percent,fga_per_game,ft_per_game,ft_percent,fta_per_game,gs,mp_per_game,orb_per_game,pf_per_game,pts_per_game,stl_per_game,tov_per_game,trb_per_game,x2p_per_game,x2p_percent,x2pa_per_game,x3p_per_game,x3p_percent,x3pa_per_game,all_star_selections,major_award_count,278.225,210.797,267.271
Michael Jordan,SG,1072,5.257,0.822,4.673,0.508,11.369,0.496,22.904,6.836,0.833,8.193,76.424,38.265,1.541,2.593,30.13,2.351,2.733,6.227,10.84,0.51,21.245,0.544,0.28,1.651,14,7,,,
Wilt Chamberlain,C,1045,4.439,0,0,0.568,12.138,0.568,22.483,5.795,0.501,11.358,0,45.809,0,1.992,30.062,0,0,22.895,12.138,0.568,22.483,0,0,0,13,4,,,
Luka Dončić,SG,405,8.261,0.437,7.718,0.539,9.744,0.467,20.814,6.164,0.746,8.236,66.091,34.899,0.96,2.26,28.654,1.184,3.983,8.662,6.743,0.553,12.141,3,0.345,8.655,5,1,,,
Joel Embiid,C,433,3.65,1.688,8.929,0.534,9.184,0.501,18.224,8.332,0.821,10.078,57.111,31.954,2.241,3.067,27.885,0.912,3.405,11.167,7.997,0.538,14.794,1.166,0.342,3.446,7,1,,,
Elgin Baylor,SF,846,4.312,0,0,0.431,10.286,0.431,23.849,6.806,0.78,8.735,0,40.029,0,3.058,27.365,0,0,13.543,10.286,0.431,23.849,0,0,0,11,1,,,
Kevin Durant,SF,1066,4.37,1.128,6.359,0.552,9.371,0.501,18.72,6.58,0.882,7.447,70.01,36.738,0.668,1.919,27.258,1.058,3.174,7.033,7.456,0.545,13.781,1.92,0.384,4.955,14,2,,,
LeBron James,SF,1497,7.373,0.737,6.353,0.549,9.934,0.507,19.642,5.615,0.735,7.645,72.205,37.921,1.158,1.804,27.107,1.524,3.494,7.488,8.323,0.558,14.993,1.62,0.347,4.639,20,5,,,
Jerry West,PG,932,6.698,0.023,0.093,0.473,9.683,0.473,20.421,7.674,0.808,9.45,0,39.239,0.033,2.62,27.032,0.086,0,5.747,9.683,0.473,20.421,0,0,0,14,0,,,
Allen Iverson,PG,914,6.151,0.172,2.897,0.453,9.261,0.427,21.779,6.981,0.776,8.952,68.025,41.137,0.817,1.947,26.674,2.171,3.576,3.711,8.106,0.45,18.084,1.167,0.312,3.694,11,2,,,
Bob Pettit,PF,792,2.988,0,0,0.435,9.27,0.435,21.312,7.82,0.762,10.246,0,38.744,0,3.202,26.368,0,0,16.234,9.27,0.435,21.312,0,0,0,11,2,,,
Oscar Robertson,PG,1040,9.506,0.007,0.202,0.483,9.141,0.483,18.862,7.41,0.838,8.837,0,42.191,0.067,2.822,25.685,0.074,0,7.504,9.141,0.483,18.862,0,0,0,12,1,,,
Trae Young,PG,412,9.537,0.152,2.925,0.505,8.111,0.435,18.581,6.723,0.871,7.705,68.388,34.155,0.66,1.705,25.526,1.01,4.184,3.594,5.521,0.49,11.219,2.605,0.351,7.38,3,0,,,
Damian Lillard,PG,847,6.723,0.311,3.639,0.52,8.085,0.437,18.484,5.839,0.893,6.492,72.674,36.241,0.603,1.91,25.119,0.968,2.823,4.241,5.02,0.494,10.123,3.112,0.37,8.343,8,1,,,
George Gervin,SG,1060,2.652,0.99,3.577,0.505,9.778,0.502,19.426,5.402,0.842,6.438,27.565,33.58,1.703,3.074,25.095,1.215,2.762,5.283,9.66,0.508,18.998,0.11,0.197,0.427,12,0,,,
Karl Malone,PF,1476,3.564,0.774,7.723,0.516,9.155,0.514,17.75,6.628,0.733,8.935,79.001,37.164,2.419,3.106,25.024,1.418,3.067,10.146,9.105,0.517,17.542,0.044,0.211,0.216,14,2,,,
Kobe Bryant,SG,1346,4.694,0.47,4.119,0.481,8.711,0.445,19.471,6.224,0.835,7.438,64.083,36.124,1.107,2.498,24.988,1.434,2.984,5.239,7.357,0.475,15.339,1.353,0.327,4.126,18,1,,,
Donovan Mitchell,SG,473,4.657,0.324,3.449,0.525,8.824,0.45,19.608,4.163,0.84,4.977,66.112,34.169,0.807,2.471,24.839,1.395,2.77,4.254,5.868,0.511,11.536,2.968,0.365,8.102,5,0,,,
Dominique Wilkins,SF,1074,2.505,0.606,3.929,0.477,9.268,0.459,20.098,5.617,0.802,6.926,70.959,35.498,2.745,1.921,24.825,1.28,2.488,6.67,8.614,0.475,18.013,0.661,0.272,2.08,9,0,,,
Rick Barry,SF,1020,4.863,0.256,3.529,0.46,9.515,0.454,20.852,5.593,0.903,6.272,0,37.41,0.958,2.969,24.768,1.086,1.333,6.736,9.347,0.46,20.279,0.172,0.081,0.592,12,1,,,
Stephen Curry,PG,959,6.391,0.26,4.079,0.58,8.453,0.473,17.865,3.926,0.908,4.325,70.237,34.209,0.67,2.309,24.749,1.526,3.125,4.726,4.521,0.525,8.658,3.917,0.428,9.207,10,3,,,
Kareem Abdul-Jabbar,C,1560,3.628,2.051,6.014,0.559,10.154,0.559,18.142,4.302,0.727,5.967,31.32,36.826,1.907,2.977,24.609,0.744,1.622,11.181,10.154,0.56,18.142,0,0.017,0,19,7,,,
Zion Williamson,PF,188,4.136,0.631,4.33,0.592,9.451,0.586,16.089,5.49,0.693,7.946,53.479,31.779,2.232,2.203,24.56,0.967,2.843,6.561,9.276,0.594,15.614,0.178,0.336,0.512,2,0,,,
Devin Booker,SG,603,4.987,0.302,3.441,0.519,8.511,0.462,18.315,5.198,0.867,5.984,63.753,34.05,0.593,2.952,24.324,0.863,3.028,4.015,6.404,0.511,12.504,2.085,0.357,5.821,4,0,,,
Larry Bird,PF,897,6.34,0.842,8.053,0.513,9.587,0.494,19.313,4.422,0.885,4.985,72.941,38.397,1.954,2.545,24.302,1.726,3.122,10.006,8.853,0.507,17.406,0.72,0.346,1.916,12,4,,,
Adrian Dantley,SF,955,2.964,0.164,3.409,0.534,8.555,0.534,15.833,7.155,0.817,8.749,40.254,35.766,2.321,2.661,24.268,0.998,2.614,5.708,8.529,0.535,15.8,0.001,0.098,0.036,6,1,,,
Pete Maravich,SG,658,5.43,0.17,2.162,0.442,9.402,0.441,21.307,5.422,0.823,6.602,0.261,36.955,0.648,2.82,24.227,0.899,0.809,4.173,9.382,0.441,21.287,0.013,0.044,0.02,5,0,,,
Julius Erving,SF,1243,4.17,1.562,5.492,0.508,9.51,0.505,18.803,5.034,0.779,6.481,50.616,36.382,2.968,2.806,24.157,1.825,3.168,8.466,9.404,0.509,18.44,0.095,0.221,0.356,16,4,,,
James Harden,SG,1077,7.139,0.561,4.861,0.525,7.133,0.44,16.152,7.145,0.858,8.314,57.916,34.732,0.757,2.513,24.146,1.494,3.678,5.623,4.391,0.508,8.615,2.744,0.364,7.552,10,2,,,
Anthony Davis,PF,741,2.491,2.301,7.997,0.536,9.037,0.523,17.24,5.61,0.791,7.063,62.831,34.533,2.648,2.356,24.114,1.341,1.996,10.637,8.553,0.545,15.708,0.456,0.243,1.564,9,0,,,
Shaquille O'Neal,C,1207,2.505,2.26,7.368,0.585,9.385,0.585,16.111,4.908,0.526,9.324,65.817,34.722,3.493,3.446,23.698,0.609,2.74,10.851,9.38,0.586,16.1,0,0.022,0.011,15,2,,,
Kyrie Irving,PG,734,5.669,0.437,3.218,0.538,8.703,0.473,18.336,3.818,0.886,4.318,59.913,34.418,0.81,2.293,23.591,1.318,2.498,4.039,6.321,0.514,12.289,2.381,0.393,6.036,8,1,,,
Giannis Antetokounmpo,SF,797,4.87,1.234,7.955,0.555,8.522,0.533,15.612,5.694,0.706,8.131,65.939,32.773,1.828,3,23.406,1.147,3.009,9.783,7.865,0.576,13.301,0.667,0.273,2.321,8,4,,,
Jayson Tatum,SF,518,3.534,0.671,6.253,0.532,8.079,0.461,17.516,4.507,0.842,5.325,73.062,34.227,0.911,2.113,23.165,1.115,2.286,7.149,5.525,0.513,10.72,2.542,0.382,6.781,5,0,,,
